Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Store Efficiency,Global Load Efficiency,Requested Global Load Throughput(bytes/sec),Branch Efficiency(%),Requested Global Store Throughput(bytes/sec),gld coalesced,gld uncoalesced,gst request,gst total,gst 64B,gst 32B,cta launched,sm cta launched,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,prof trigger 07,prof trigger 06,prof trigger 05,prof trigger 04,tex cache hit,tex cache miss,warp serialize,instructions,divergent branch,branch,prof trigger 03,prof trigger 02,prof trigger 01,prof trigger 00
"Memcpy HtoD [sync]",2865093873,109088,,,,,,,,,,495616,4543267820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_2(float*, float*, float*, int)",2865206449,4694176,16,16,1,22,22,1,9,32,0,,,4,868,6,165,11473660343,100,23061499,986656,0,160,987021,500,910,29,10,0,0,180928,140448,0,6740,986656,365,665280,112640,0,0,0,0,0,0,0,399217,0,56960,0,0,0,0
"Memcpy DtoH [sync]",2869992209,109088,,,,,,,,,,495616,4543267820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2920986670,244032,,,,,,,,,,1115136,4569630212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2921590222,212384,,,,,,,,,,1115136,5250565014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_2(float*, float*, float*, int)",2921806094,15764992,24,24,1,22,22,1,9,32,0,,,4,79,6,077,11198235039,100,15024022,3303168,0,352,3303936,1136,2064,64,22,0,0,566016,511104,0,14816,3303168,768,2226048,371712,0,0,0,0,0,0,0,1311921,0,187264,0,0,0,0
"Memcpy DtoH [sync]",2938559566,245600,,,,,,,,,,1115136,4540456026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2993128118,30624,,,,,,,,,,123904,4045977011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2993272278,29920,,,,,,,,,,123904,4141176470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",2993305718,123488,22,22,1,8,8,1,11,544,0,,,4,5,4,5,4844036697,100,111225540,19008,0,36,19008,0,432,54,18,0,0,0,0,0,864,19008,0,19008,1584,0,0,0,0,0,0,30586,23272,0,2520,0,0,0,0
