Name,Registers/Thread,Static Shared Memory,gst uncoalesced,gst coalesced,gld uncoalesced,gld coalesced,gld 32B,gld request,gld 128B,gld 64B,divergent branch,branch,sm cta launched,cta launched,warp serialize,instructions,gst 32B,gst 64B,gst 128B,gld total,local store,local load,gst total,gst request,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4254962108,48160,,,,,,,,262144,5443189368
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4255115516,47552,,,,,,,,262144,5512786002
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",12,556,0,4096,0,131072,130560,65280,0,0,0,17200,0,257,242682,163075,2048,0,0,130560,0,0,130560,1024,4255167164,929856,32,32,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4256147995,48992,,,,,,,,262144,5350751143
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4305161490,103840,,,,,,,,589824,5680123266
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4305462130,103136,,,,,,,,589824,5718895439
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",12,556,0,9216,0,442368,442368,221184,0,0,0,56832,0,576,806339,536082,4608,0,0,442368,0,0,442368,2304,4305569426,3034336,48,48,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4308710252,107902,,,,,,,,589824,5466293488
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4359626848,177248,,,,,,,,1048576,5915869290
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4360064096,177120,,,,,,,,1048576,5920144534
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",12,556,0,16416,0,1050624,1048576,524288,0,0,0,134064,0,1024,1893728,1261317,8184,0,0,1051648,0,0,1051648,4100,4360245280,7001312,64,64,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4367863214,182908,,,,,,,,1048576,5732805563
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4419686857,283168,,,,,,,,1638400,5785964515
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4420383945,282624,,,,,,,,1638400,5797101449
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",12,556,0,25536,0,2042880,2056960,1028480,0,0,0,261568,0,1602,3725909,2452459,12744,0,0,2051840,0,0,2051840,6384,4420670633,13819520,80,80,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4434573340,291961,,,,,,,,1638400,5611708413
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4488165102,32768,,,,,,,,65536,2000000000
