Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Store Efficiency,Global Load Efficiency,Requested Global Load Throughput(bytes/sec),Branch Efficiency(%),Requested Global Store Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,cta launched,sm cta launched,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,tex cache hit,gld coalesced,tex cache miss,gld uncoalesced,warp serialize,instructions,divergent branch,branch
"void MatrixMulKernel_3<int=22>(float*, float const *, float const *, int)",3296620641,144480,8,8,1,22,22,1,13,3904,0,,,5,205,5,205,3226394616,100,203371278,48,498,149,255,8,3,0,0,1504,2384,0,1858,7968,94,4080,768,0,7968,0,0,22156,27762,0,1344
"Memcpy DtoH [sync]",3296850689,29440,,,,,,,,,,123904,4208695652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3339961326,110592,,,,,,,,,,495616,4481481481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3340286126,109376,,,,,,,,,,495616,4531304856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=22>(float*, float const *, float const *, int)",3340398990,859296,16,16,1,22,22,1,13,3904,0,,,4,868,4,836,3980472650,100,123606220,160,1775,500,910,29,10,0,0,11408,16236,0,6740,57168,365,29524,5120,0,57168,0,0,147725,174417,0,8320
"Memcpy DtoH [sync]",3342243822,111200,,,,,,,,,,495616,4456978417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3392793304,246048,,,,,,,,,,1115136,4532188841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3393457208,212384,,,,,,,,,,1115136,5250565014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=22>(float*, float const *, float const *, int)",3393673080,2730336,24,24,1,22,22,1,13,3904,0,,,4,79,4,787,4161268816,100,86407800,352,3968,1136,2064,64,22,0,0,36736,54976,0,14816,190592,768,98880,16896,0,190592,0,0,486348,563922,0,26752
"Memcpy DtoH [sync]",3396564280,242496,,,,,,,,,,1115136,4598574821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3448253583,10368,,,,,,,,,,16384,1580246913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3448304239,9440,,,,,,,,,,16384,1735593220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",3448338479,11552,4,4,1,16,16,1,11,2080,0,,,13,5,13,5,1340314136,100,167539267,8,32,32,0,2,1,0,0,0,256,0,128,256,0,0,64,0,256,0,0,0,2007,0,128
"Memcpy DtoH [sync]",3448417743,7296,,,,,,,,,,16384,2245614035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3487718118,29312,,,,,,,,,,65536,2235807860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
